,Date,last_updated_epoch,last_updated,temp_c,temp_f,is_day,condition,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,vis_km,vis_miles,uv,gust_mph,gust_kph
32,2024-07-13,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
33,2024-07-14,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
34,2024-07-15,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
35,2024-07-16,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
36,2024-07-17,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
37,2024-07-18,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
38,2024-07-19,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
39,2024-07-20,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
40,2024-07-21,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
41,2024-07-22,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
42,2024-07-23,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
43,2024-07-24,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
44,2024-07-25,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
45,2024-07-26,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
46,2024-07-27,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
47,2024-07-28,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
48,2024-07-29,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
49,2024-07-30,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
50,2024-07-31,1718092800,2024-06-11 11:30,29.2,84.6,1,"{'text': 'Partly cloudy', 'icon': '//cdn.weatherapi.com/weather/64x64/day/116.png', 'code': 1003}",11.9,19.1,270,W,1010.0,29.83,0.0,0.0,66,75,29.1,84.4,32.6,90.7,33.8,92.8,17.1,62.8,8.0,4.0,8.0,13.1,21.1
